Location,Class
Proceed directly to Main ,1
Move promptly to Main ,1
Continue walking towards Main ,1
Keep moving to Main ,1
Head straight towards Main ,1
Get on route to Main ,1
Move directly towards Main ,1
Take your journey to Main ,1
Get to your destination: Main ,1
March straight to Main ,1
Head over directly to Main ,1
Take the direction to Main ,1
Walk the route to Main ,1
Start your way to Main ,1
Set your path to Main ,1
Continue along to Main ,1
Move forward along the way to Main ,1
Start moving towards Main ,1
Take yourself forward to Main ,1
Head quickly to Main ,1
Set off towards Main ,1
Begin moving towards Main ,1
Start heading towards Main ,1
Head promptly to Main ,1
Set your direction to Main ,1
Walk briskly to Main ,1
Keep heading to Main ,1
Push straight to Main ,1
Step forward towards Main ,1
Walk your way to Main ,1
Keep your course to Main ,1
Proceed quickly to Main ,1
Walk directly towards Main ,1
Continue on the path to Main ,1
Travel along the way to Main ,1
Move quickly to Main ,1
Walk forward towards Main ,1
Head right to Main ,1
Go immediately to Main ,1
March promptly to Main ,1
Walk on to Main ,1
Take your course to Main ,1
Proceed along your path to Main ,1
Continue along the road to Main ,1
Proceed to your destination: Main ,1
Head straight on to Main ,1
Make your journey forward to Main ,1
Set yourself towards Main ,1
Go along towards Main ,1
Travel directly towards Main ,1
Begin walking to Main ,1
Take your steps to Main ,1
Get moving towards Main ,1
Move swiftly to Main ,1
March forward to Main ,1
Walk the distance to Main ,1
Continue traveling to Main ,1
Make your way straight to Main ,1
Push straight ahead to Main ,1
Walk the straight line to Main ,1
Step along to Main ,1
Continue along the direction to Main ,1
Walk steadily to Main ,1
Go further to Main ,1
Follow the line to Main ,1
Take the direct path to Main ,1
Step forward along to Main ,1
Take the straight route to Main ,1
March directly to Main ,1
Proceed swiftly to Main ,1
Continue the way to Main ,1
Make progress towards Main ,1
Move onward to Main ,1
Proceed further to Main ,1
Walk in the direction of Main ,1
Travel onwards to Main ,1
Keep walking to Main ,1
Walk the road to Main ,1
Continue your path to Main ,1
March towards your destination: Main ,1
Walk forward on the way to Main ,1
Proceed along the direct path to Main ,1
Continue onward along the path to Main ,1
Walk straight ahead to Main ,1
Follow your course to Main ,1
Set your steps to Main ,1
Keep progressing to Main ,1
Walk your path to Main ,1
Move along the way to Main ,1
Continue forward to Main ,1
Take your steps towards Main ,1
Proceed directly along to Main ,1
Go towards your destination: Main ,1
Keep moving along to Main ,1
Travel promptly to Main ,1
Move towards Main  quickly,1
March forward along to Main ,1
Take the road forward to Main ,1
Continue straight ahead to Main ,1
Go to FX ,1
Proceed to FX ,1
Head to FX ,1
Walk to FX ,1
Move to FX ,1
Navigate to FX ,1
Travel to FX ,1
Direct yourself to FX ,1
Get to FX ,1
Go towards FX ,1
Head over to FX ,1
Reach FX ,1
Make your way to FX ,1
Proceed towards FX ,1
Move towards FX ,1
Travel towards FX ,1
Go in the direction of FX ,1
Approach FX ,1
Walk towards FX ,1
Move along to FX ,1
Make your way towards FX ,1
Take the path to FX ,1
Head in the direction of FX ,1
Navigate towards FX ,1
Get moving to FX ,1
Direct yourself towards FX ,1
Proceed along the way to FX ,1
Set off to FX ,1
Start heading to FX ,1
Move forward to FX ,1
Go straight to FX ,1
Take the route to FX ,1
Head straight to FX ,1
Continue to FX ,1
Journey to FX ,1
Proceed forward to FX ,1
Walk straight to FX ,1
Find your way to FX ,1
Get on your way to FX ,1
Head out to FX ,1
Go ahead to FX ,1
Move forward towards FX ,1
Take the road to FX ,1
Start moving to FX ,1
Move ahead to FX ,1
Make your way over to FX ,1
Get on the way to FX ,1
Travel forward to FX ,1
Move in the direction of FX ,1
Get going to FX ,1
Begin heading to FX ,1
Travel in the direction of FX ,1
Set your course to FX ,1
Take yourself to FX ,1
Head in the way of FX ,1
Start your journey to FX ,1
Set out for FX ,1
Commence your journey to FX ,1
Embark for FX ,1
Journey forward to FX ,1
Venture towards FX ,1
Travel ahead to FX ,1
Make your journey to FX ,1
Head directly to FX ,1
Push forward to FX ,1
Direct your steps to FX ,1
Walk onward to FX ,1
March to FX ,1
Continue walking to FX ,1
Advance towards FX ,1
Continue onward to FX ,1
Move on to FX ,1
Follow the path to FX ,1
Go along the way to FX ,1
Take yourself towards FX ,1
Proceed onwards to FX ,1
Step towards FX ,1
Take the path forward to FX ,1
Follow the way to FX ,1
Continue your journey to FX ,1
Push onward to FX ,1
Journey onward to FX ,1
Travel directly to FX ,1
Go forth to FX ,1
Go straight ahead to FX ,1
Keep going to FX ,1
Take your route to FX ,1
Step forward to FX ,1
Follow the road to FX ,1
Move yourself to FX ,1
Continue straight to FX ,1
Move towards your destination: FX ,1
Head onwards to FX ,1
Push towards FX ,1
March onwards to FX ,1
Travel straight to FX ,1
Head directly towards FX ,1
Navigate forward to FX ,1
Travel straight towards FX ,1
Walk directly to FX ,1
Go directly to FX ,1
Proceed directly to FX ,1
Move promptly to FX ,1
Continue walking towards FX ,1
Keep moving to FX ,1
Head straight towards FX ,1
Get on route to FX ,1
Move directly towards FX ,1
Take your journey to FX ,1
Get to your destination: FX ,1
March straight to FX ,1
Head over directly to FX ,1
Take the direction to FX ,1
Walk the route to FX ,1
Start your way to FX ,1
Set your path to FX ,1
Continue along to FX ,1
Move forward along the way to FX ,1
Start moving towards FX ,1
Take yourself forward to FX ,1
Head quickly to FX ,1
Set off towards FX ,1
Begin moving towards FX ,1
Start heading towards FX ,1
Head promptly to FX ,1
Set your direction to FX ,1
Walk briskly to FX ,1
Keep heading to FX ,1
Push straight to FX ,1
Step forward towards FX ,1
Walk your way to FX ,1
Keep your course to FX ,1
Proceed quickly to FX ,1
Walk directly towards FX ,1
Continue on the path to FX ,1
Travel along the way to FX ,1
Move quickly to FX ,1
Walk forward towards FX ,1
Head right to FX ,1
Go immediately to FX ,1
March promptly to FX ,1
Walk on to FX ,1
Take your course to FX ,1
Proceed along your path to FX ,1
Continue along the road to FX ,1
Proceed to your destination: FX ,1
Head straight on to FX ,1
Make your journey forward to FX ,1
Set yourself towards FX ,1
Go along towards FX ,1
Travel directly towards FX ,1
Begin walking to FX ,1
Take your steps to FX ,1
Get moving towards FX ,1
Move swiftly to FX ,1
March forward to FX ,1
Walk the distance to FX ,1
Continue traveling to FX ,1
Make your way straight to FX ,1
Push straight ahead to FX ,1
Walk the straight line to FX ,1
Step along to FX ,1
Continue along the direction to FX ,1
Walk steadily to FX ,1
Go further to FX ,1
Follow the line to FX ,1
Take the direct path to FX ,1
Step forward along to FX ,1
Take the straight route to FX ,1
March directly to FX ,1
Proceed swiftly to FX ,1
Continue the way to FX ,1
Make progress towards FX ,1
Move onward to FX ,1
Proceed further to FX ,1
Walk in the direction of FX ,1
Travel onwards to FX ,1
Keep walking to FX ,1
Walk the road to FX ,1
Continue your path to FX ,1
March towards your destination: FX ,1
Walk forward on the way to FX ,1
Proceed along the direct path to FX ,1
Continue onward along the path to FX ,1
Walk straight ahead to FX ,1
Follow your course to FX ,1
Set your steps to FX ,1
Keep progressing to FX ,1
Walk your path to FX ,1
Move along the way to FX ,1
Continue forward to FX ,1
Take your steps towards FX ,1
Proceed directly along to FX ,1
Go towards your destination: FX ,1
Keep moving along to FX ,1
Travel promptly to FX ,1
Move towards FX  quickly,1
March forward along to FX ,1
Take the road forward to FX ,1
Continue straight ahead to FX ,1
Go to MBA ,2
Proceed to MBA ,2
Head to MBA ,2
Walk to MBA ,2
Move to MBA ,2
Navigate to MBA ,2
Travel to MBA ,2
Direct yourself to MBA ,2
Get to MBA ,2
Go towards MBA ,2
Head over to MBA ,2
Reach MBA ,2
Make your way to MBA ,2
Proceed towards MBA ,2
Move towards MBA ,2
Travel towards MBA ,2
Go in the direction of MBA ,2
Approach MBA ,2
Walk towards MBA ,2
Move along to MBA ,2
Make your way towards MBA ,2
Take the path to MBA ,2
Head in the direction of MBA ,2
Navigate towards MBA ,2
Get moving to MBA ,2
Direct yourself towards MBA ,2
Proceed along the way to MBA ,2
Set off to MBA ,2
Start heading to MBA ,2
Move forward to MBA ,2
Go straight to MBA ,2
Take the route to MBA ,2
Head straight to MBA ,2
Continue to MBA ,2
Journey to MBA ,2
Proceed forward to MBA ,2
Walk straight to MBA ,2
Find your way to MBA ,2
Get on your way to MBA ,2
Head out to MBA ,2
Go ahead to MBA ,2
Move forward towards MBA ,2
Take the road to MBA ,2
Start moving to MBA ,2
Move ahead to MBA ,2
Make your way over to MBA ,2
Get on the way to MBA ,2
Travel forward to MBA ,2
Move in the direction of MBA ,2
Get going to MBA ,2
Begin heading to MBA ,2
Travel in the direction of MBA ,2
Set your course to MBA ,2
Take yourself to MBA ,2
Head in the way of MBA ,2
Start your journey to MBA ,2
Set out for MBA ,2
Commence your journey to MBA ,2
Embark for MBA ,2
Journey forward to MBA ,2
Venture towards MBA ,2
Travel ahead to MBA ,2
Make your journey to MBA ,2
Head directly to MBA ,2
Push forward to MBA ,2
Direct your steps to MBA ,2
Walk onward to MBA ,2
March to MBA ,2
Continue walking to MBA ,2
Advance towards MBA ,2
Continue onward to MBA ,2
Move on to MBA ,2
Follow the path to MBA ,2
Go along the way to MBA ,2
Take yourself towards MBA ,2
Proceed onwards to MBA ,2
Step towards MBA ,2
Take the path forward to MBA ,2
Follow the way to MBA ,2
Continue your journey to MBA ,2
Push onward to MBA ,2
Journey onward to MBA ,2
Travel directly to MBA ,2
Go forth to MBA ,2
Go straight ahead to MBA ,2
Keep going to MBA ,2
Take your route to MBA ,2
Step forward to MBA ,2
Follow the road to MBA ,2
Move yourself to MBA ,2
Continue straight to MBA ,2
Move towards your destination: MBA ,2
Head onwards to MBA ,2
Push towards MBA ,2
March onwards to MBA ,2
Travel straight to MBA ,2
Head directly towards MBA ,2
Navigate forward to MBA ,2
Travel straight towards MBA ,2
Walk directly to MBA ,2
Go directly to MBA ,2
Proceed directly to MBA ,2
Move promptly to MBA ,2
Continue walking towards MBA ,2
Keep moving to MBA ,2
Head straight towards MBA ,2
Get on route to MBA ,2
Move directly towards MBA ,2
Take your journey to MBA ,2
Get to your destination: MBA ,2
March straight to MBA ,2
Head over directly to MBA ,2
Take the direction to MBA ,2
Walk the route to MBA ,2
Start your way to MBA ,2
Set your path to MBA ,2
Continue along to MBA ,2
Move forward along the way to MBA ,2
Start moving towards MBA ,2
Take yourself forward to MBA ,2
Head quickly to MBA ,2
Set off towards MBA ,2
Begin moving towards MBA ,2
Start heading towards MBA ,2
Head promptly to MBA ,2
Set your direction to MBA ,2
Walk briskly to MBA ,2
Keep heading to MBA ,2
Push straight to MBA ,2
Step forward towards MBA ,2
Walk your way to MBA ,2
Keep your course to MBA ,2
Proceed quickly to MBA ,2
Walk directly towards MBA ,2
Continue on the path to MBA ,2
Travel along the way to MBA ,2
Move quickly to MBA ,2
Walk forward towards MBA ,2
Head right to MBA ,2
Go immediately to MBA ,2
March promptly to MBA ,2
Walk on to MBA ,2
Take your course to MBA ,2
Proceed along your path to MBA ,2
Continue along the road to MBA ,2
Proceed to your destination: MBA ,2
Head straight on to MBA ,2
Make your journey forward to MBA ,2
Set yourself towards MBA ,2
Go along towards MBA ,2
Travel directly towards MBA ,2
Begin walking to MBA ,2
Take your steps to MBA ,2
Get moving towards MBA ,2
Move swiftly to MBA ,2
March forward to MBA ,2
Walk the distance to MBA ,2
Continue traveling to MBA ,2
Make your way straight to MBA ,2
Push straight ahead to MBA ,2
Walk the straight line to MBA ,2
Step along to MBA ,2
Continue along the direction to MBA ,2
Walk steadily to MBA ,2
Go further to MBA ,2
Follow the line to MBA ,2
Take the direct path to MBA ,2
Step forward along to MBA ,2
Take the straight route to MBA ,2
March directly to MBA ,2
Proceed swiftly to MBA ,2
Continue the way to MBA ,2
Make progress towards MBA ,2
Move onward to MBA ,2
Proceed further to MBA ,2
Walk in the direction of MBA ,2
Travel onwards to MBA ,2
Keep walking to MBA ,2
Walk the road to MBA ,2
Continue your path to MBA ,2
March towards your destination: MBA ,2
Walk forward on the way to MBA ,2
Proceed along the direct path to MBA ,2
Continue onward along the path to MBA ,2
Walk straight ahead to MBA ,2
Follow your course to MBA ,2
Set your steps to MBA ,2
Keep progressing to MBA ,2
Walk your path to MBA ,2
Move along the way to MBA ,2
Continue forward to MBA ,2
Take your steps towards MBA ,2
Proceed directly along to MBA ,2
Go towards your destination: MBA ,2
Keep moving along to MBA ,2
Travel promptly to MBA ,2
Move towards MBA  quickly,2
March forward along to MBA ,2
Take the road forward to MBA ,2
Continue straight ahead to MBA ,2
Go to MBA Seminar Hall,2
Proceed to MBA Seminar Hall,2
Head to MBA Seminar Hall,2
Walk to MBA Seminar Hall,2
Move to MBA Seminar Hall,2
Navigate to MBA Seminar Hall,2
Travel to MBA Seminar Hall,2
Direct yourself to MBA Seminar Hall,2
Get to MBA Seminar Hall,2
Go towards MBA Seminar Hall,2
Head over to MBA Seminar Hall,2
Reach MBA Seminar Hall,2
Make your way to MBA Seminar Hall,2
Proceed towards MBA Seminar Hall,2
Move towards MBA Seminar Hall,2
Travel towards MBA Seminar Hall,2
Go in the direction of MBA Seminar Hall,2
Approach MBA Seminar Hall,2
Walk towards MBA Seminar Hall,2
Move along to MBA Seminar Hall,2
Make your way towards MBA Seminar Hall,2
Take the path to MBA Seminar Hall,2
Head in the direction of MBA Seminar Hall,2
Navigate towards MBA Seminar Hall,2
Get moving to MBA Seminar Hall,2
Direct yourself towards MBA Seminar Hall,2
Proceed along the way to MBA Seminar Hall,2
Set off to MBA Seminar Hall,2
Start heading to MBA Seminar Hall,2
Move forward to MBA Seminar Hall,2
Go straight to MBA Seminar Hall,2
Take the route to MBA Seminar Hall,2
Head straight to MBA Seminar Hall,2
Continue to MBA Seminar Hall,2
Journey to MBA Seminar Hall,2
Proceed forward to MBA Seminar Hall,2
Walk straight to MBA Seminar Hall,2
Find your way to MBA Seminar Hall,2
Get on your way to MBA Seminar Hall,2
Head out to MBA Seminar Hall,2
Go ahead to MBA Seminar Hall,2
Move forward towards MBA Seminar Hall,2
Take the road to MBA Seminar Hall,2
Start moving to MBA Seminar Hall,2
Move ahead to MBA Seminar Hall,2
Make your way over to MBA Seminar Hall,2
Get on the way to MBA Seminar Hall,2
Travel forward to MBA Seminar Hall,2
Move in the direction of MBA Seminar Hall,2
Get going to MBA Seminar Hall,2
Begin heading to MBA Seminar Hall,2
Travel in the direction of MBA Seminar Hall,2
Set your course to MBA Seminar Hall,2
Take yourself to MBA Seminar Hall,2
Head in the way of MBA Seminar Hall,2
Start your journey to MBA Seminar Hall,2
Set out for MBA Seminar Hall,2
Commence your journey to MBA Seminar Hall,2
Embark for MBA Seminar Hall,2
Journey forward to MBA Seminar Hall,2
Venture towards MBA Seminar Hall,2
Travel ahead to MBA Seminar Hall,2
Make your journey to MBA Seminar Hall,2
Head directly to MBA Seminar Hall,2
Push forward to MBA Seminar Hall,2
Direct your steps to MBA Seminar Hall,2
Walk onward to MBA Seminar Hall,2
March to MBA Seminar Hall,2
Continue walking to MBA Seminar Hall,2
Advance towards MBA Seminar Hall,2
Continue onward to MBA Seminar Hall,2
Move on to MBA Seminar Hall,2
Follow the path to MBA Seminar Hall,2
Go along the way to MBA Seminar Hall,2
Take yourself towards MBA Seminar Hall,2
Proceed onwards to MBA Seminar Hall,2
Step towards MBA Seminar Hall,2
Take the path forward to MBA Seminar Hall,2
Follow the way to MBA Seminar Hall,2
Continue your journey to MBA Seminar Hall,2
Push onward to MBA Seminar Hall,2
Journey onward to MBA Seminar Hall,2
Travel directly to MBA Seminar Hall,2
Go forth to MBA Seminar Hall,2
Go straight ahead to MBA Seminar Hall,2
Keep going to MBA Seminar Hall,2
Take your route to MBA Seminar Hall,2
Step forward to MBA Seminar Hall,2
Follow the road to MBA Seminar Hall,2
Move yourself to MBA Seminar Hall,2
Continue straight to MBA Seminar Hall,2
Move towards your destination: MBA Seminar Hall,2
Head onwards to MBA Seminar Hall,2
Push towards MBA Seminar Hall,2
March onwards to MBA Seminar Hall,2
Travel straight to MBA Seminar Hall,2
Head directly towards MBA Seminar Hall,2
Navigate forward to MBA Seminar Hall,2
Travel straight towards MBA Seminar Hall,2
Walk directly to MBA Seminar Hall,2
Go directly to MBA Seminar Hall,2
Proceed directly to MBA Seminar Hall,2
Move promptly to MBA Seminar Hall,2
Continue walking towards MBA Seminar Hall,2
Keep moving to MBA Seminar Hall,2
Head straight towards MBA Seminar Hall,2
Get on route to MBA Seminar Hall,2
Move directly towards MBA Seminar Hall,2
Take your journey to MBA Seminar Hall,2
Get to your destination: MBA Seminar Hall,2
March straight to MBA Seminar Hall,2
Head over directly to MBA Seminar Hall,2
Take the direction to MBA Seminar Hall,2
Walk the route to MBA Seminar Hall,2
Start your way to MBA Seminar Hall,2
Set your path to MBA Seminar Hall,2
Continue along to MBA Seminar Hall,2
Move forward along the way to MBA Seminar Hall,2
Start moving towards MBA Seminar Hall,2
Take yourself forward to MBA Seminar Hall,2
Head quickly to MBA Seminar Hall,2
Set off towards MBA Seminar Hall,2
Begin moving towards MBA Seminar Hall,2
Start heading towards MBA Seminar Hall,2
Head promptly to MBA Seminar Hall,2
Set your direction to MBA Seminar Hall,2
Walk briskly to MBA Seminar Hall,2
Keep heading to MBA Seminar Hall,2
Push straight to MBA Seminar Hall,2
Step forward towards MBA Seminar Hall,2
Walk your way to MBA Seminar Hall,2
Keep your course to MBA Seminar Hall,2
Proceed quickly to MBA Seminar Hall,2
Walk directly towards MBA Seminar Hall,2
Continue on the path to MBA Seminar Hall,2
Travel along the way to MBA Seminar Hall,2
Move quickly to MBA Seminar Hall,2
Walk forward towards MBA Seminar Hall,2
Head right to MBA Seminar Hall,2
Go immediately to MBA Seminar Hall,2
March promptly to MBA Seminar Hall,2
Walk on to MBA Seminar Hall,2
Take your course to MBA Seminar Hall,2
Proceed along your path to MBA Seminar Hall,2
Continue along the road to MBA Seminar Hall,2
Proceed to your destination: MBA Seminar Hall,2
Head straight on to MBA Seminar Hall,2
Make your journey forward to MBA Seminar Hall,2
Set yourself towards MBA Seminar Hall,2
Go along towards MBA Seminar Hall,2
Travel directly towards MBA Seminar Hall,2
Begin walking to MBA Seminar Hall,2
Take your steps to MBA Seminar Hall,2
Get moving towards MBA Seminar Hall,2
Move swiftly to MBA Seminar Hall,2
March forward to MBA Seminar Hall,2
Walk the distance to MBA Seminar Hall,2
Continue traveling to MBA Seminar Hall,2
Make your way straight to MBA Seminar Hall,2
Push straight ahead to MBA Seminar Hall,2
Walk the straight line to MBA Seminar Hall,2
Step along to MBA Seminar Hall,2
Continue along the direction to MBA Seminar Hall,2
Walk steadily to MBA Seminar Hall,2
Go further to MBA Seminar Hall,2
Follow the line to MBA Seminar Hall,2
Take the direct path to MBA Seminar Hall,2
Step forward along to MBA Seminar Hall,2
Take the straight route to MBA Seminar Hall,2
March directly to MBA Seminar Hall,2
Proceed swiftly to MBA Seminar Hall,2
Continue the way to MBA Seminar Hall,2
Make progress towards MBA Seminar Hall,2
Move onward to MBA Seminar Hall,2
Proceed further to MBA Seminar Hall,2
Walk in the direction of MBA Seminar Hall,2
Travel onwards to MBA Seminar Hall,2
Keep walking to MBA Seminar Hall,2
Walk the road to MBA Seminar Hall,2
Continue your path to MBA Seminar Hall,2
March towards your destination: MBA Seminar Hall,2
Walk forward on the way to MBA Seminar Hall,2
Proceed along the direct path to MBA Seminar Hall,2
Continue onward along the path to MBA Seminar Hall,2
Walk straight ahead to MBA Seminar Hall,2
Follow your course to MBA Seminar Hall,2
Set your steps to MBA Seminar Hall,2
Keep progressing to MBA Seminar Hall,2
Walk your path to MBA Seminar Hall,2
Move along the way to MBA Seminar Hall,2
Continue forward to MBA Seminar Hall,2
Take your steps towards MBA Seminar Hall,2
Proceed directly along to MBA Seminar Hall,2
Go towards your destination: MBA Seminar Hall,2
Keep moving along to MBA Seminar Hall,2
Travel promptly to MBA Seminar Hall,2
Move towards MBA Seminar Hall quickly,2
March forward along to MBA Seminar Hall,2
Take the road forward to MBA Seminar Hall,2
Continue straight ahead to MBA Seminar Hall,2
Go to Xerox Shop,3
Head to Xerox Shop,3
Walk to the Xerox Shop,3
Move towards the Xerox Shop,3
Proceed to Xerox Shop,3
Make your way to Xerox Shop,3
Navigate to Xerox Shop,3
Reach the Xerox Shop,3
Get to the Xerox Shop,3
Travel to Xerox Shop,3
Direct yourself to the Xerox Shop,3
Walk towards Xerox Shop,3
Go over to the Xerox Shop,3
Move ahead to Xerox Shop,3
Head over to the Xerox Shop,3
